Skills,Interest,Personality,Education_Level,Recommended_Career
SEO; Content Writing,Designing,Logical,Diploma,Digital Marketer
Email Marketing; Branding,Designing,Social,Diploma,Digital Marketer
Git; GitHub,Cloud Computing,Creative,PG,Software Engineer
Linux; Bash; DevOps,Marketing,Creative,UG,DevOps Engineer
Photoshop; Illustrator,Data Analysis,Creative,PG,UI/UX Designer
Azure; Cloud Security,Designing,Logical,PG,Cloud Engineer
Google Ads; Analytics,App Development,Creative,PG,Digital Marketer
NextJS; JavaScript,Marketing,Social,Diploma,Web Developer
Social Media Marketing,Cloud Computing,Logical,Diploma,Digital Marketer
HTML; CSS; JavaScript,Designing,Creative,UG,Web Developer
Docker; Kubernetes,Machine Learning,Logical,UG,DevOps Engineer
NextJS; JavaScript,Marketing,Logical,UG,Web Developer
Google Ads; Analytics,Programming,Logical,Diploma,Digital Marketer
Android; Flutter,Mobile Development,Social,PG,Mobile App Developer
Linux; Bash; DevOps,Machine Learning,Creative,Diploma,DevOps Engineer
CI/CD; Jenkins,Data Analysis,Logical,PG,DevOps Engineer
Java; Spring,Data Analysis,Creative,Diploma,Software Engineer
Figma; Prototyping,Web Development,Analytical,Diploma,UI/UX Designer
AWS; Cloud,Data Analysis,Logical,PG,Cloud Engineer
Statistics; Python,Designing,Social,UG,Data Scientist
Android; Kotlin,Web Development,Creative,Diploma,Android Developer
Python; Data Analysis,App Development,Logical,Diploma,Data Scientist
Flutter; Dart,Programming,Logical,PG,Mobile App Developer
Canva; UI Design,Data Analysis,Creative,PG,UI/UX Designer
React; NodeJS,Cloud Computing,Creative,Diploma,Web Developer
Figma; Prototyping,Mobile Development,Social,PG,UI/UX Designer
React; NodeJS,DevOps,Logical,Diploma,Web Developer
C++; DSA,Data Analysis,Analytical,UG,Software Engineer
Python; SQL; PowerBI,Programming,Logical,Diploma,Data Scientist
Docker; Kubernetes,Cloud Computing,Creative,UG,DevOps Engineer
Android; Flutter,Marketing,Analytical,PG,Mobile App Developer
Python; OOP,Cloud Computing,Social,UG,Software Engineer
Docker; Kubernetes,App Development,Creative,Diploma,DevOps Engineer
Machine Learning; Python,Mobile Development,Social,Diploma,Data Scientist
Android Studio; Kotlin,Designing,Creative,Diploma,Android Developer
Linux; Bash; DevOps,Data Analysis,Logical,UG,DevOps Engineer
Java; Android,Cloud Computing,Logical,Diploma,Android Developer
Canva; UI Design,Mobile Development,Social,UG,UI/UX Designer
Python; Pandas; NumPy,DevOps,Logical,PG,Data Scientist
Python; ML Algorithms,Machine Learning,Analytical,UG,ML Engineer
Flutter; Dart,DevOps,Creative,Diploma,Mobile App Developer
C++; DSA,Programming,Creative,UG,Software Engineer
CI/CD; Jenkins,Designing,Creative,Diploma,DevOps Engineer
Java; Android,Web Development,Creative,Diploma,Android Developer
Python; Data Analysis,Programming,Logical,UG,Data Scientist
Statistics; Python,Data Analysis,Logical,Diploma,Data Scientist
GCP; Cloud Architecture,Mobile Development,Social,Diploma,Cloud Engineer
Android; Kotlin,Programming,Social,Diploma,Android Developer
Docker; Kubernetes,Designing,Analytical,PG,DevOps Engineer
Android; Kotlin,App Development,Analytical,PG,Android Developer
Docker; Kubernetes,Designing,Analytical,PG,DevOps Engineer
React Native; JavaScript,Machine Learning,Logical,Diploma,Mobile App Developer
Email Marketing; Branding,Machine Learning,Creative,Diploma,Digital Marketer
Android; Flutter,Designing,Logical,Diploma,Mobile App Developer
Android Studio; Kotlin,Cloud Computing,Logical,PG,Android Developer
Android Studio; Kotlin,Programming,Logical,UG,Android Developer
Flutter; Dart,Mobile Development,Social,Diploma,Mobile App Developer
PyTorch; Neural Networks,Machine Learning,Social,Diploma,ML Engineer
Java; Android,Machine Learning,Logical,PG,Android Developer
Java; Android,Data Analysis,Analytical,UG,Android Developer
Python; SQL; PowerBI,DevOps,Creative,UG,Data Scientist
Git; GitHub,Marketing,Analytical,UG,Software Engineer
Azure; Cloud Security,App Development,Analytical,PG,Cloud Engineer
